Connected, dumping recent logs for app cf-js-example-post in org jashuntest-org / space development as jashunwan01@gmail.com...

2017-01-07T12:56:40.58+0800 [API/5]      OUT Created app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb
2017-01-07T12:56:45.53+0800 [API/2]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"route"=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261", :verb=>"add", :relation=>"routes", :related_guid=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261"})
2017-01-07T12:57:10.76+0800 [API/0]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"state"=>"STARTED"})
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading binary_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading go_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading php_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading nodejs_buildpack...
2017-01-07T12:57:11.07+0800 [STG/0]      OUT Downloading dotnet_core_buildpack...
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloading dotnet_core_buildpack_beta...
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloaded nodejs_buildpack
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloading python_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded binary_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading java_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded go_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading staticfile_buildpack...
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack_beta
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloading ruby_buildpack...
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded java_buildpack
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded python_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded staticfile_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded ruby_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Downloaded php_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Creating container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Successfully created container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Downloading app package...
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Downloaded app package (1.6M)
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Staging...
2017-01-07T12:57:14.73+0800 [STG/0]      OUT -------> Buildpack version 1.5.25
2017-01-07T12:57:14.78+0800 [STG/0]      OUT -----> Creating runtime environment
2017-01-07T12:57:14.78+0800 [STG/0]      OUT        
2017-01-07T12:57:14.78+0800 [STG/0]      OUT        NPM_CONFIG_LOGLEVEL=error
2017-01-07T12:57:14.78+0800 [STG/0]      OUT        NPM_CONFIG_PRODUCTION=true
2017-01-07T12:57:14.79+0800 [STG/0]      OUT        NODE_ENV=production
2017-01-07T12:57:14.79+0800 [STG/0]      OUT        NODE_MODULES_CACHE=true
2017-01-07T12:57:14.79+0800 [STG/0]      OUT -----> Installing binaries
2017-01-07T12:57:14.79+0800 [STG/0]      OUT        engines.node (package.json):  unspecified
2017-01-07T12:57:14.79+0800 [STG/0]      OUT        engines.npm (package.json):   unspecified (use default)
2017-01-07T12:57:14.79+0800 [STG/0]      OUT        
2017-01-07T12:57:14.99+0800 [STG/0]      OUT        Downloading and installing node 4.7.0...
2017-01-07T12:57:15.18+0800 [STG/0]      OUT        Downloaded [file:///tmp/buildpacks/742abd67de437dc719a2c666ed6e3df7/dependencies/https___buildpacks.cloudfoundry.org_dependencies_node_node-4.7.0-linux-x64.tgz]
2017-01-07T12:57:15.77+0800 [STG/0]      OUT        Using default npm version: 2.15.11
2017-01-07T12:57:15.77+0800 [STG/0]      OUT -----> Restoring cache
2017-01-07T12:57:16.00+0800 [STG/0]      OUT        Skipping cache restore (new runtime signature)
2017-01-07T12:57:16.00+0800 [STG/0]      OUT -----> Building dependencies
2017-01-07T12:57:16.01+0800 [STG/0]      OUT        Prebuild detected (node_modules already exists)
2017-01-07T12:57:16.01+0800 [STG/0]      OUT        Rebuilding any native modules
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        express@3.2.6 /tmp/app/node_modules/express
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        buffer-crc32@0.2.1 /tmp/app/node_modules/buffer-crc32
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        commander@0.6.1 /tmp/app/node_modules/commander
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        connect@2.7.11 /tmp/app/node_modules/connect
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        bytes@0.2.0 /tmp/app/node_modules/bytes
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        cookie@0.0.5 /tmp/app/node_modules/connect/node_modules/cookie
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        cookie-signature@1.0.1 /tmp/app/node_modules/cookie-signature
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        debug@2.6.0 /tmp/app/node_modules/debug
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        ms@0.7.2 /tmp/app/node_modules/ms
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        formidable@1.0.14 /tmp/app/node_modules/formidable
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        fresh@0.1.0 /tmp/app/node_modules/fresh
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        pause@0.0.1 /tmp/app/node_modules/pause
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        qs@0.6.5 /tmp/app/node_modules/qs
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        send@0.1.1 /tmp/app/node_modules/connect/node_modules/send
